2024-11-08 18:56:08,161 - INFO - Процессор: 2.7%, Видео карта: [3.0], Оперативка: 23.5%, Использование диска: 31.5%
2024-11-08 18:56:15,256 - INFO - Процессор: 4.4%, Видео карта: [3.0], Оперативка: 23.4%, Использование диска: 31.5%
2024-11-08 18:56:22,359 - INFO - Процессор: 6.3%, Видео карта: [3.0], Оперативка: 23.4%, Использование диска: 31.5%
2024-11-08 18:56:29,474 - INFO - Процессор: 3.2%, Видео карта: [27.0], Оперативка: 23.7%, Использование диска: 31.5%
2024-11-08 18:56:36,590 - INFO - Процессор: 14.8%, Видео карта: [47.0], Оперативка: 24.5%, Использование диска: 31.5%
2024-11-08 18:56:43,717 - INFO - Процессор: 8.6%, Видео карта: [48.0], Оперативка: 25.0%, Использование диска: 31.5%
2024-11-08 18:56:50,844 - INFO - Процессор: 16.1%, Видео карта: [33.0], Оперативка: 25.6%, Использование диска: 31.5%
2024-11-08 18:56:57,929 - INFO - Процессор: 11.1%, Видео карта: [40.0], Оперативка: 26.1%, Использование диска: 31.5%
2024-11-08 18:57:05,021 - INFO - Процессор: 12.7%, Видео карта: [15.0], Оперативка: 26.0%, Использование диска: 31.5%
2024-11-08 18:57:12,114 - INFO - Процессор: 17.9%, Видео карта: [31.0], Оперативка: 26.3%, Использование диска: 31.5%
2024-11-08 18:57:19,220 - INFO - Процессор: 11.3%, Видео карта: [9.0], Оперативка: 26.3%, Использование диска: 31.5%
2024-11-08 18:57:26,316 - INFO - Процессор: 11.0%, Видео карта: [14.000000000000002], Оперативка: 26.3%, Использование диска: 31.5%
2024-11-08 18:57:33,407 - INFO - Процессор: 13.6%, Видео карта: [27.0], Оперативка: 26.9%, Использование диска: 31.5%
2024-11-08 18:57:40,513 - INFO - Процессор: 25.0%, Видео карта: [6.0], Оперативка: 27.1%, Использование диска: 31.5%
2024-11-08 18:57:47,623 - INFO - Процессор: 3.4%, Видео карта: [15.0], Оперативка: 27.1%, Использование диска: 31.5%
2024-11-08 18:57:54,732 - INFO - Процессор: 13.9%, Видео карта: [33.0], Оперативка: 27.1%, Использование диска: 31.5%
2024-11-08 18:58:01,840 - INFO - Процессор: 4.1%, Видео карта: [35.0], Оперативка: 27.1%, Использование диска: 31.5%
2024-11-08 18:58:08,960 - INFO - Процессор: 8.8%, Видео карта: [23.0], Оперативка: 27.0%, Использование диска: 31.5%
2024-11-08 18:58:16,059 - INFO - Процессор: 9.6%, Видео карта: [4.0], Оперативка: 27.0%, Использование диска: 31.5%
2024-12-24 15:34:45,475 - INFO - Процессор: 1.8%, Видео карта: [0.0], Оперативка: 28.0%, Использование диска: 38.5%
2024-12-24 15:34:52,573 - INFO - Процессор: 0.5%, Видео карта: [2.0], Оперативка: 28.0%, Использование диска: 38.5%
2024-12-24 15:44:23,811 - INFO - Процессор: 8.2%, Видео карта: [3.0], Оперативка: 31.8%, Использование диска: 38.5%
2024-12-24 15:44:30,911 - INFO - Процессор: 0.4%, Видео карта: [19.0], Оперативка: 31.9%, Использование диска: 38.5%
2024-12-24 15:44:38,026 - INFO - Процессор: 1.6%, Видео карта: [45.0], Оперативка: 31.7%, Использование диска: 38.5%
2024-12-24 15:44:45,140 - INFO - Процессор: 0.4%, Видео карта: [36.0], Оперативка: 31.7%, Использование диска: 38.5%
2024-12-24 15:44:52,247 - INFO - Процессор: 7.4%, Видео карта: [47.0], Оперативка: 31.9%, Использование диска: 38.5%
2024-12-24 15:44:59,346 - INFO - Процессор: 23.1%, Видео карта: [3.0], Оперативка: 32.0%, Использование диска: 38.5%
2024-12-24 15:45:06,460 - INFO - Процессор: 4.0%, Видео карта: [47.0], Оперативка: 31.8%, Использование диска: 38.5%
2024-12-24 15:45:13,565 - INFO - Процессор: 1.4%, Видео карта: [47.0], Оперативка: 31.7%, Использование диска: 38.5%
2024-12-24 15:45:20,688 - INFO - Процессор: 2.3%, Видео карта: [45.0], Оперативка: 31.7%, Использование диска: 38.5%
2024-12-24 15:45:27,783 - INFO - Процессор: 4.4%, Видео карта: [3.0], Оперативка: 31.7%, Использование диска: 38.5%
2024-12-24 15:45:34,881 - INFO - Процессор: 4.0%, Видео карта: [3.0], Оперативка: 31.8%, Использование диска: 38.5%
2024-12-24 15:45:41,982 - INFO - Процессор: 3.3%, Видео карта: [47.0], Оперативка: 31.8%, Использование диска: 38.5%
2024-12-24 15:45:49,095 - INFO - Процессор: 2.1%, Видео карта: [22.0], Оперативка: 31.7%, Использование диска: 38.5%
2024-12-24 15:45:56,201 - INFO - Процессор: 3.5%, Видео карта: [45.0], Оперативка: 31.8%, Использование диска: 38.5%
2024-12-24 15:46:03,303 - INFO - Процессор: 24.6%, Видео карта: [3.0], Оперативка: 31.9%, Использование диска: 38.5%
2024-12-24 15:46:10,402 - INFO - Процессор: 3.0%, Видео карта: [48.0], Оперативка: 31.8%, Использование диска: 38.5%
2024-12-24 15:46:17,502 - INFO - Процессор: 1.7%, Видео карта: [24.0], Оперативка: 31.8%, Использование диска: 38.5%
2024-12-24 15:46:24,599 - INFO - Процессор: 4.0%, Видео карта: [2.0], Оперативка: 31.7%, Использование диска: 38.5%
2024-12-24 15:46:31,700 - INFO - Процессор: 1.5%, Видео карта: [50.0], Оперативка: 31.7%, Использование диска: 38.5%
2024-12-24 15:46:38,810 - INFO - Процессор: 3.9%, Видео карта: [48.0], Оперативка: 31.8%, Использование диска: 38.5%
2024-12-24 15:46:45,926 - INFO - Процессор: 4.7%, Видео карта: [23.0], Оперативка: 31.9%, Использование диска: 38.5%
2024-12-24 15:46:53,053 - INFO - Процессор: 2.1%, Видео карта: [44.0], Оперативка: 31.8%, Использование диска: 38.5%
2024-12-24 15:47:00,163 - INFO - Процессор: 4.2%, Видео карта: [2.0], Оперативка: 31.9%, Использование диска: 38.5%
2024-12-24 15:47:07,278 - INFO - Процессор: 22.1%, Видео карта: [48.0], Оперативка: 31.9%, Использование диска: 38.5%
2024-12-24 15:47:14,413 - INFO - Процессор: 1.7%, Видео карта: [46.0], Оперативка: 31.8%, Использование диска: 38.5%
2024-12-24 15:47:21,526 - INFO - Процессор: 2.1%, Видео карта: [45.0], Оперативка: 31.8%, Использование диска: 38.5%
2024-12-24 15:47:28,645 - INFO - Процессор: 2.9%, Видео карта: [49.0], Оперативка: 31.8%, Использование диска: 38.5%
2024-12-24 15:47:35,752 - INFO - Процессор: 2.9%, Видео карта: [3.0], Оперативка: 31.8%, Использование диска: 38.5%
2024-12-24 15:47:42,879 - INFO - Процессор: 3.1%, Видео карта: [43.0], Оперативка: 32.2%, Использование диска: 38.5%
2024-12-24 15:47:49,990 - INFO - Процессор: 1.6%, Видео карта: [24.0], Оперативка: 32.2%, Использование диска: 38.5%
2024-12-24 15:47:57,097 - INFO - Процессор: 5.2%, Видео карта: [23.0], Оперативка: 32.2%, Использование диска: 38.5%
2024-12-24 15:48:04,193 - INFO - Процессор: 2.6%, Видео карта: [2.0], Оперативка: 32.2%, Использование диска: 38.5%
2024-12-24 15:48:11,307 - INFO - Процессор: 14.2%, Видео карта: [2.0], Оперативка: 32.0%, Использование диска: 38.5%
2024-12-24 15:48:18,422 - INFO - Процессор: 6.3%, Видео карта: [24.0], Оперативка: 31.9%, Использование диска: 38.5%
2024-12-24 15:48:25,529 - INFO - Процессор: 3.0%, Видео карта: [45.0], Оперативка: 31.9%, Использование диска: 38.5%
